utc,transaction_id,address,quantity,ok,recovered,latency_ms,error
2026-09-12T08:57:14Z,1,32,2,1,0,208.466,
2026-09-12T08:57:14Z,2,0,16,1,0,30.278,
2026-09-12T08:57:14Z,3,0,16,1,0,29.431,
2026-09-12T08:57:14Z,4,0,16,1,0,29.519,
2026-09-12T08:57:14Z,5,0,16,1,0,29.678,
2026-09-12T08:57:14Z,6,0,16,1,0,30.062,
2026-09-12T08:57:15Z,7,0,16,1,0,30.124,
2026-09-12T08:57:15Z,8,0,16,1,0,29.524,
2026-09-12T08:57:15Z,9,0,16,1,0,30.174,
2026-09-12T08:57:15Z,10,0,16,1,0,29.615,
2026-09-12T08:57:15Z,11,32,2,1,0,9.720,
2026-09-12T08:57:15Z,12,0,16,1,0,30.593,
2026-09-12T08:57:15Z,13,0,16,1,0,29.606,
2026-09-12T08:57:15Z,14,0,16,1,0,30.569,
2026-09-12T08:57:15Z,15,0,16,1,0,31.833,
2026-09-12T08:57:15Z,16,0,16,1,0,30.127,
2026-09-12T08:57:16Z,17,0,16,1,0,30.086,
2026-09-12T08:57:16Z,18,0,16,1,0,30.545,
2026-09-12T08:57:16Z,19,0,16,1,0,29.629,
2026-09-12T08:57:16Z,20,0,16,1,0,29.661,
2026-09-12T08:57:16Z,21,32,2,1,0,7.515,
2026-09-12T08:57:16Z,22,0,16,1,0,31.019,
2026-09-12T08:57:16Z,23,0,16,1,0,31.040,
2026-09-12T08:57:16Z,24,0,16,1,0,31.063,
2026-09-12T08:57:16Z,25,0,16,1,0,31.654,
2026-09-12T08:57:16Z,26,0,16,1,0,31.316,
2026-09-12T08:57:17Z,27,0,16,1,0,32.109,
2026-09-12T08:57:17Z,28,0,16,1,0,31.530,
2026-09-12T08:57:17Z,29,0,16,1,0,31.527,
2026-09-12T08:57:17Z,30,0,16,1,0,32.661,
2026-09-12T08:57:17Z,31,32,2,1,0,7.506,
2026-09-12T08:57:17Z,32,0,16,1,0,31.533,
2026-09-12T08:57:17Z,33,0,16,1,0,31.555,
2026-09-12T08:57:17Z,34,0,16,1,0,30.572,
2026-09-12T08:57:17Z,35,0,16,1,0,30.599,
2026-09-12T08:57:17Z,36,0,16,1,0,31.572,
2026-09-12T08:57:18Z,37,0,16,1,0,32.585,
2026-09-12T08:57:18Z,38,0,16,1,0,31.391,
2026-09-12T08:57:18Z,39,0,16,1,0,31.643,
2026-09-12T08:57:18Z,40,0,16,1,0,31.998,
2026-09-12T08:57:18Z,41,32,2,1,0,7.507,
2026-09-12T08:57:18Z,42,0,16,1,0,31.070,
2026-09-12T08:57:18Z,43,0,16,1,0,31.051,
2026-09-12T08:57:18Z,44,0,16,1,0,31.039,
2026-09-12T08:57:18Z,45,0,16,1,0,31.110,
2026-09-12T08:57:18Z,46,0,16,1,0,31.600,
2026-09-12T08:57:19Z,47,0,16,1,0,32.295,
2026-09-12T08:57:19Z,48,0,16,1,0,31.610,
2026-09-12T08:57:19Z,49,0,16,1,0,31.576,
2026-09-12T08:57:19Z,50,0,16,1,0,31.202,
2026-09-12T08:57:19Z,51,32,2,1,0,8.533,
2026-09-12T08:57:19Z,52,0,16,1,0,30.616,
2026-09-12T08:57:19Z,53,0,16,1,0,30.553,
2026-09-12T08:57:19Z,54,0,16,1,0,30.195,
2026-09-12T08:57:19Z,55,0,16,1,0,29.557,
2026-09-12T08:57:19Z,56,0,16,1,0,30.097,
2026-09-12T08:57:20Z,57,0,16,1,0,29.639,
2026-09-12T08:57:20Z,58,0,16,1,0,30.525,
2026-09-12T08:57:20Z,59,0,16,1,0,30.541,
2026-09-12T08:57:20Z,60,0,16,1,0,30.086,
2026-09-12T08:57:20Z,61,32,2,1,0,6.998,
2026-09-12T08:57:20Z,62,0,16,1,0,30.061,
2026-09-12T08:57:20Z,63,0,16,1,0,30.585,
2026-09-12T08:57:20Z,64,0,16,1,0,29.584,
2026-09-12T08:57:20Z,65,0,16,1,0,30.523,
2026-09-12T08:57:20Z,66,0,16,1,0,30.102,
2026-09-12T08:57:21Z,67,0,16,1,0,30.214,
2026-09-12T08:57:21Z,68,0,16,1,0,30.195,
2026-09-12T08:57:21Z,69,0,16,1,0,30.554,
2026-09-12T08:57:21Z,70,0,16,1,0,30.631,
2026-09-12T08:57:21Z,71,32,2,1,0,8.500,
2026-09-12T08:57:21Z,72,0,16,1,0,30.115,
2026-09-12T08:57:21Z,73,0,16,1,0,29.568,
2026-09-12T08:57:21Z,74,0,16,1,0,31.575,
2026-09-12T08:57:21Z,75,0,16,1,0,30.571,
2026-09-12T08:57:21Z,76,0,16,1,0,30.524,
2026-09-12T08:57:22Z,77,0,16,1,0,30.780,
2026-09-12T08:57:22Z,78,0,16,1,0,30.119,
2026-09-12T08:57:22Z,79,0,16,1,0,30.527,
2026-09-12T08:57:22Z,80,0,16,1,0,29.612,
2026-09-12T08:57:22Z,81,32,2,1,0,7.527,
2026-09-12T08:57:22Z,82,0,16,1,0,30.232,
2026-09-12T08:57:22Z,83,0,16,1,0,29.861,
2026-09-12T08:57:22Z,84,0,16,1,0,29.517,
2026-09-12T08:57:22Z,85,0,16,1,0,29.566,
2026-09-12T08:57:22Z,86,0,16,1,0,30.060,
2026-09-12T08:57:23Z,87,0,16,1,0,29.547,
2026-09-12T08:57:23Z,88,0,16,1,0,30.568,
2026-09-12T08:57:23Z,89,0,16,1,0,30.712,
2026-09-12T08:57:23Z,90,0,16,1,0,29.607,
2026-09-12T08:57:23Z,91,32,2,1,0,7.525,
2026-09-12T08:57:23Z,92,0,16,1,0,30.051,
2026-09-12T08:57:23Z,93,0,16,1,0,29.559,
2026-09-12T08:57:23Z,94,0,16,1,0,31.047,
2026-09-12T08:57:23Z,95,0,16,1,0,30.100,
2026-09-12T08:57:23Z,96,0,16,1,0,30.309,
2026-09-12T08:57:24Z,97,0,16,1,0,30.527,
2026-09-12T08:57:24Z,98,0,16,1,0,31.053,
