index,ready_timestamp_cycles,read_start_cycles,read_done_cycles,raw,processed_sequence,fifo_depth,flags,rate,driver_state,config_register,config_status,read_clocks
0,3959891883,3959892230,3959904871,-43874,541,0,15,0,4,12,0,27
1,3967104688,3967105035,3967117678,-43877,542,0,15,0,4,12,0,27
2,3974316955,3974317302,3974329999,-43872,543,0,15,0,4,12,0,27
3,3981523942,3981524289,3981536934,-43886,544,0,15,0,4,12,0,27
4,3988733731,3988734078,3988746723,-43920,545,0,15,0,4,12,0,27
5,3995947139,3995947486,3995960131,-43897,546,0,15,0,4,12,0,27
6,4003160734,4003161081,4003173726,-43870,547,0,15,0,4,12,0,27
7,4010367020,4010367367,4010380010,-43881,548,0,15,0,4,12,0,27
8,4017582548,4017582895,4017595585,-43877,549,0,15,0,4,12,0,27
9,4024817515,4024817862,4024830503,-43873,550,0,15,0,4,12,0,27
10,4032020188,4032020535,4032033180,-43886,551,0,15,0,4,12,0,27
11,4039217412,4039217759,4039230400,-43874,552,0,15,0,4,12,0,27
12,4046424972,4046425319,4046437964,-43883,553,0,15,0,4,12,0,27
13,4053637682,4053638029,4053650676,-43896,554,0,15,0,4,12,0,27
14,4060846764,4060847111,4060859756,-43883,555,0,15,0,4,12,0,27
15,4068059385,4068059732,4068072420,-43873,556,0,15,0,4,12,0,27
