second,mode,input_ug,corrected_ug,offset_ug,state,automatic_rebuild_count
131,DOSING,-22526,-22526,0,1,0
132,DOSING,-11826,-11826,0,1,0
133,DOSING,-18021,-18021,0,1,0
134,DOSING,-20837,-20837,0,1,0
135,DOSING,-18021,-18021,0,1,0
136,DOSING,-21964,-21964,0,1,0
137,DOSING,-23653,-23653,0,1,0
138,DOSING,-27032,-27032,0,1,0
139,DOSING,-26468,-26468,0,1,0
140,DOSING,-28722,-28722,0,1,0
141,DOSING,-28722,-28722,0,1,0
142,DOSING,-29284,-29284,0,1,0
143,DOSING,-27032,-27032,0,1,0
144,DOSING,-32100,-32100,0,1,0
145,DOSING,-29284,-29284,0,1,0
146,DOSING,-33226,-33226,0,1,0
147,DOSING,-33790,-33790,0,1,0
148,DOSING,-33226,-33226,0,1,0
149,DOSING,-32664,-32664,0,1,0
150,DOSING,-35480,-35480,0,1,0
151,DOSING,-36042,-36042,0,1,0
152,DOSING,-36042,-36042,0,1,0
153,DOSING,-28722,-28722,0,1,0
154,DOSING,-28158,-28158,0,1,0
155,DOSING,-33227,-33227,0,1,0
156,DOSING,-30974,-30974,0,1,0
157,DOSING,-30974,-30974,0,1,0
158,DOSING,-37732,-37732,0,1,0
159,DOSING,-30411,-30411,0,1,0
160,DOSING,-33227,-33227,0,1,0
161,DOSING,-29848,-29848,0,1,0
162,DOSING,-28158,-28158,0,1,0
163,DOSING,-24216,-24216,0,1,0
164,DOSING,-21964,-21964,0,1,0
165,DOSING,-21400,-21400,0,1,0
166,DOSING,-23653,-23653,0,1,0
167,STATIC,-24216,-24216,0,2,0
168,STATIC,-27595,-27595,0,2,0
169,STATIC,-30974,-30974,0,2,0
170,STATIC,-25342,-25342,0,2,0
171,STATIC,-28722,-28722,0,2,0
172,STATIC,-25906,-25906,0,2,0
173,STATIC,-26468,-26468,0,2,0
174,STATIC,-28158,-28158,0,2,0
175,STATIC,-33790,-33790,0,2,0
176,STATIC,-35480,-35480,0,2,0
177,STATIC,-34353,-34353,0,2,0
178,STATIC,-32664,-32664,0,2,0
179,STATIC,-32100,-32100,0,2,0
180,STATIC,-33227,-33227,0,2,0
181,STATIC,-38295,-38295,0,2,0
182,STATIC,-41111,-41111,0,3,0
183,STATIC,-39422,-39422,0,3,0
184,STATIC,-40548,-40548,0,3,0
185,STATIC,-45616,-45616,0,3,0
186,STATIC,-41111,-41111,0,3,0
187,STATIC,-42800,-42800,0,3,0
188,STATIC,-41111,-41111,0,3,0
189,STATIC,-49558,-49558,0,3,0
190,STATIC,-53500,-53500,0,3,0
191,STATIC,-47306,-47306,0,3,0
192,STATIC,-47870,-47870,0,3,0
193,STATIC,-38858,-38858,0,3,0
194,STATIC,-45616,-45616,0,3,0
195,STATIC,-51248,-51248,0,3,0
196,STATIC,-46180,-46180,0,3,0
197,STATIC,-48432,-48432,0,3,0
198,STATIC,-46742,-46742,0,3,0
199,STATIC,-42801,-42801,0,3,0
200,STATIC,-44490,-44490,0,3,0
201,STATIC,-43364,-43364,0,3,0
202,STATIC,-43364,-43364,0,3,0
203,STATIC,-36042,-36042,0,3,0
204,STATIC,-40548,-40548,0,3,0
205,STATIC,-38858,-38858,0,3,0
206,STATIC,-41112,-41112,0,3,0
207,STATIC,-40548,-40548,0,3,0
208,STATIC,-40548,-40548,0,3,0
