utc,transaction_id,address,quantity,ok,latency_ms,error
2026-09-12T08:06:38Z,1,32,2,1,36.604,
2026-09-12T08:06:39Z,2,0,32,1,66.715,
2026-09-12T08:06:39Z,3,0,32,1,58.157,
2026-09-12T08:06:39Z,4,0,32,1,56.074,
2026-09-12T08:06:39Z,5,0,32,1,56.574,
2026-09-12T08:06:39Z,6,0,32,1,57.613,
2026-09-12T08:06:39Z,7,0,32,1,57.112,
2026-09-12T08:06:39Z,8,0,32,1,68.049,
2026-09-12T08:06:39Z,9,0,32,1,57.835,
2026-09-12T08:06:39Z,10,0,32,1,57.768,
2026-09-12T08:06:39Z,11,32,2,1,8.837,
2026-09-12T08:06:40Z,12,0,32,1,57.211,
2026-09-12T08:06:40Z,13,0,32,1,58.716,
2026-09-12T08:06:40Z,14,0,32,1,56.607,
2026-09-12T08:06:40Z,15,0,32,1,56.677,
2026-09-12T08:06:40Z,16,0,32,1,57.282,
2026-09-12T08:06:40Z,17,0,32,1,57.655,
2026-09-12T08:06:40Z,18,0,32,1,57.652,
2026-09-12T08:06:40Z,19,0,32,1,57.795,
2026-09-12T08:06:40Z,20,0,32,1,65.846,
2026-09-12T08:06:40Z,21,32,2,1,11.334,
2026-09-12T08:06:41Z,22,0,32,1,58.048,
2026-09-12T08:06:41Z,23,0,32,1,57.622,
2026-09-12T08:06:41Z,24,0,32,1,66.172,
2026-09-12T08:06:41Z,25,0,32,1,57.079,
2026-09-12T08:06:41Z,26,0,32,1,56.385,
2026-09-12T08:06:41Z,27,0,32,1,56.139,
2026-09-12T08:06:41Z,28,0,32,1,57.042,
2026-09-12T08:06:41Z,29,0,32,1,56.663,
2026-09-12T08:06:41Z,30,0,32,1,56.041,
2026-09-12T08:06:41Z,31,32,2,1,9.506,
2026-09-12T08:06:42Z,32,0,32,1,65.235,
2026-09-12T08:06:42Z,33,0,32,1,55.555,
2026-09-12T08:06:42Z,34,0,32,1,56.132,
2026-09-12T08:06:42Z,35,0,32,1,57.065,
2026-09-12T08:06:42Z,36,0,32,1,55.321,
2026-09-12T08:06:42Z,37,0,32,1,66.741,
2026-09-12T08:06:42Z,38,0,32,1,55.630,
2026-09-12T08:06:42Z,39,0,32,1,55.654,
