communication_state,crc_valid,exception,function,request_number,response_time_complete_ms,response_time_first_byte_ms,rx_hex,sample_sequence,status_flags,storage_state,timestamp,tx_hex
not mapped,True,,3,32,44.1347,39.5843,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff569fffff569f1141,3177,196608,0,1784915494.1745896,0103000000204412
not mapped,True,,3,33,44.1389,39.702,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff55cbffff55cb21b1,3178,196608,0,1784915494.2886739,0103000000204412
not mapped,True,,3,34,44.131,39.5896,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5666ffff56664d17,3179,196608,0,1784915494.404693,0103000000204412
not mapped,True,,3,35,44.1703,39.5946,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff56cdffff56cd2970,3180,196608,0,1784915494.5178208,0103000000204412
not mapped,True,,3,36,44.5578,40.0218,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff56c2ffff56c23d75,3182,196608,0,1784915494.632439,0103000000204412
not mapped,True,,3,37,44.5679,39.6266,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5656ffff56560d07,3183,196608,0,1784915494.7469332,0103000000204412
not mapped,True,,3,38,43.9823,39.6079,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff544dffff544d298c,3184,196608,0,1784915494.8631284,0103000000204412
not mapped,True,,3,39,44.1369,39.5939,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5484ffff548435ca,3185,196608,0,1784915494.9766593,0103000000204412
not mapped,True,,3,40,43.9672,39.5822,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff52acffff52ac5614,3186,196608,0,1784915495.0892422,0103000000204412
not mapped,True,,3,41,43.9887,39.5989,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff54b8ffff54b865de,3187,196608,0,1784915495.203332,0103000000204412
not mapped,True,,3,42,44.5687,40.0135,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff57deffff57deed3f,3189,196608,0,1784915495.3173573,0103000000204412
not mapped,True,,3,43,44.5544,40.0116,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff58a9ffff58a95c1d,3190,196608,0,1784915495.4323938,0103000000204412
not mapped,True,,3,44,44.5549,40.0148,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff57b8ffff57b8651d,3191,196608,0,1784915495.547417,0103000000204412
not mapped,True,,3,45,43.9921,39.6022,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5856ffff58560849,3192,196608,0,1784915495.6629632,0103000000204412
not mapped,True,,3,46,44.0022,39.5944,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5722ffff5722bd6a,3193,196608,0,1784915495.7771573,0103000000204412
not mapped,True,,3,47,44.1638,39.606,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5835ffff58358c68,3195,196608,0,1784915495.8926919,0103000000204412
not mapped,True,,3,48,44.5918,40.0187,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5854ffff5854f048,3196,196608,0,1784915496.0080047,0103000000204412
not mapped,True,,3,49,44.5736,40.0084,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff54deffff54deedfc,3197,196608,0,1784915496.1240542,0103000000204412
not mapped,True,,3,50,43.9917,39.6087,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff582fffff582f5461,3198,196608,0,1784915496.2381842,0103000000204412
not mapped,True,,3,51,44.1442,39.6069,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5821ffff5821bc64,3199,196608,0,1784915496.3537564,0103000000204412
not mapped,True,,3,52,43.9782,39.5952,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff55dfffff55df11bd,3200,196608,0,1784915496.4670901,0103000000204412
not mapped,True,,3,53,43.971,39.6047,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff54fbffff54fb61e0,3202,196608,0,1784915496.5821302,0103000000204412
not mapped,True,,3,54,44.5742,40.0562,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff57c1ffff57c13935,3203,196608,0,1784915496.6944032,0103000000204412
not mapped,True,,3,55,44.415,40.0202,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5b2bffff5b2ba4a1,3204,196608,0,1784915496.808928,0103000000204412
not mapped,True,,3,56,44.0392,39.4901,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff54d9ffff54d919fe,3205,196608,0,1784915496.9229531,0103000000204412
not mapped,True,,3,57,44.0835,39.5267,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5728ffff5728a56c,3206,196608,0,1784915497.0368414,0103000000204412
not mapped,True,,3,58,44.5688,40.0238,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff585effff585ee84e,3207,196608,0,1784915497.152093,0103000000204412
not mapped,True,,3,59,44.1492,39.6389,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff59e5ffff59e54c67,3208,196608,0,1784915497.26685,0103000000204412
not mapped,True,,3,60,44.1343,40.1829,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5bb0ffff5bb080d6,3210,196608,0,1784915497.3826058,0103000000204412
not mapped,True,,3,61,44.1124,40.1339,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff59a1ffff59a1bc5b,3211,196608,0,1784915497.4979312,0103000000204412
not mapped,True,,3,62,44.0622,39.9438,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff590affff590ad83c,3212,196608,0,1784915497.6118371,0103000000204412
not mapped,True,,3,63,43.9746,39.5905,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5a0bffff5a0b24ff,3213,196608,0,1784915497.7260532,0103000000204412
not mapped,True,,3,64,43.9941,39.6056,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5771ffff5771795b,3214,196608,0,1784915497.84211,0103000000204412
not mapped,True,,3,65,44.1422,39.5908,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff55daffff55da1dbe,3216,196608,0,1784915497.957647,0103000000204412
not mapped,True,,3,66,44.5547,40.0127,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff56f3ffff56f38165,3217,196608,0,1784915498.072901,0103000000204412
not mapped,True,,3,67,44.1268,40.0389,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff57faffff57fa9d23,3218,196608,0,1784915498.1876547,0103000000204412
not mapped,True,,3,68,43.9795,39.688,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff557fffff557f91dc,3219,196608,0,1784915498.299983,0103000000204412
not mapped,True,,3,69,44.1614,39.6193,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5670ffff5670851a,3220,196608,0,1784915498.4136572,0103000000204412
not mapped,True,,3,70,43.906,39.5118,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5643ffff5643c10b,3221,196608,0,1784915498.527202,0103000000204412
not mapped,True,,3,71,44.6174,40.1847,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff558fffff558fd18d,3222,196608,0,1784915498.6427746,0103000000204412
not mapped,True,,3,72,44.5536,40.0074,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5476ffff54768d9a,3224,196608,0,1784915498.757053,0103000000204412
not mapped,True,,3,73,44.1419,40.1754,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff54d7ffff54d7f1fb,3225,196608,0,1784915498.8723586,0103000000204412
not mapped,True,,3,74,43.9902,39.5963,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5687ffff56873149,3226,196608,0,1784915498.9879777,0103000000204412
not mapped,True,,3,75,44.1309,39.5853,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff570bffff570b2172,3227,196608,0,1784915499.1014814,0103000000204412
not mapped,True,,3,76,44.4093,40.0102,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff564effff564e2d0f,3228,196608,0,1784915499.215167,0103000000204412
not mapped,True,,3,77,44.1275,39.5886,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff56ffffff56ff9161,3230,196608,0,1784915499.3316138,0103000000204412
