host_time_iso,host_monotonic_s,elapsed_s,test_id,mode,load_g,sample_sequence,device_timestamp_ms,raw_count,filtered_raw_count,adc_state,fifo_count,overrun_count,lost_samples,config_register,word_order,excluded,counts_per_g,sensor_capacity_g,sensor_sensitivity_mv_v,excitation_v,notes
2026-08-05T13:48:41.119657+08:00,1288539.953000000,1.485000,E_sensor_500g,channel_a,500.0,24542,2409650,-485894,-485894,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:41.216847+08:00,1288540.046000000,1.578000,E_sensor_500g,channel_a,500.0,24543,2409748,-485894,-485894,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:41.314254+08:00,1288540.156000000,1.688000,E_sensor_500g,channel_a,500.0,24544,2409846,-485899,-485899,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:41.411396+08:00,1288540.250000000,1.782000,E_sensor_500g,channel_a,500.0,24545,2409943,-485882,-485882,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:41.510141+08:00,1288540.343000000,1.875000,E_sensor_500g,channel_a,500.0,24546,2410040,-485911,-485911,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:41.607240+08:00,1288540.437000000,1.969000,E_sensor_500g,channel_a,500.0,24547,2410139,-485937,-485937,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:41.705808+08:00,1288540.546000000,2.078000,E_sensor_500g,channel_a,500.0,24548,2410236,-485881,-485881,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:41.804451+08:00,1288540.640000000,2.172000,E_sensor_500g,channel_a,500.0,24549,2410335,-485902,-485902,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:41.901517+08:00,1288540.734000000,2.266000,E_sensor_500g,channel_a,500.0,24550,2410433,-485900,-485900,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:41.999129+08:00,1288540.828000000,2.360000,E_sensor_500g,channel_a,500.0,24551,2410531,-485897,-485897,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
