host_time_iso,host_monotonic_s,elapsed_s,test_id,mode,load_g,sample_sequence,device_timestamp_ms,raw_count,filtered_raw_count,adc_state,fifo_count,overrun_count,lost_samples,config_register,word_order,excluded,counts_per_g,sensor_capacity_g,sensor_sensitivity_mv_v,excitation_v,notes
2026-08-05T14:25:42.859498+08:00,1290761.687000000,1.609000,F_sensor_zero_after_500g,channel_a,0.0,47178,4631517,-43372,-43372,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
2026-08-05T14:25:42.959084+08:00,1290761.796000000,1.718000,F_sensor_zero_after_500g,channel_a,0.0,47179,4631616,-43358,-43358,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
2026-08-05T14:25:43.009148+08:00,1290761.843000000,1.765000,F_sensor_zero_after_500g,channel_a,0.0,47180,4631679,-43360,-43360,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
2026-08-05T14:25:43.153977+08:00,1290761.984000000,1.906000,F_sensor_zero_after_500g,channel_a,0.0,47181,4631812,-43385,-43385,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
2026-08-05T14:25:43.253496+08:00,1290762.093000000,2.015000,F_sensor_zero_after_500g,channel_a,0.0,47182,4631909,-43390,-43390,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
2026-08-05T14:25:43.351382+08:00,1290762.187000000,2.109000,F_sensor_zero_after_500g,channel_a,0.0,47183,4632008,-43385,-43385,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
2026-08-05T14:25:43.401396+08:00,1290762.234000000,2.156000,F_sensor_zero_after_500g,channel_a,0.0,47184,4632072,-43366,-43366,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
2026-08-05T14:25:43.500213+08:00,1290762.328000000,2.250000,F_sensor_zero_after_500g,channel_a,0.0,47185,4632170,-43379,-43379,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
2026-08-05T14:25:43.597784+08:00,1290762.437000000,2.359000,F_sensor_zero_after_500g,channel_a,0.0,47186,4632268,-43387,-43387,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
2026-08-05T14:25:43.742880+08:00,1290762.578000000,2.500000,F_sensor_zero_after_500g,channel_a,0.0,47187,4632401,-43401,-43401,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
2026-08-05T14:25:43.840473+08:00,1290762.671000000,2.593000,F_sensor_zero_after_500g,channel_a,0.0,47188,4632498,-43391,-43391,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
2026-08-05T14:25:43.938613+08:00,1290762.781000000,2.703000,F_sensor_zero_after_500g,channel_a,0.0,47189,4632596,-43384,-43384,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
2026-08-05T14:25:44.036139+08:00,1290762.875000000,2.797000,F_sensor_zero_after_500g,channel_a,0.0,47190,4632694,-43365,-43365,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
2026-08-05T14:25:44.133193+08:00,1290762.968000000,2.890000,F_sensor_zero_after_500g,channel_a,0.0,47191,4632791,-43368,-43368,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
