host_time_iso,host_monotonic_s,elapsed_s,test_id,mode,load_g,sample_sequence,device_timestamp_ms,raw_count,filtered_raw_count,adc_state,fifo_count,overrun_count,lost_samples,config_register,word_order,excluded,counts_per_g,sensor_capacity_g,sensor_sensitivity_mv_v,excitation_v,notes
2026-08-05T13:15:45.869831+08:00,1286564.703000000,366.016000,D_sensor_zero,channel_a,0.0,4417,434299,-43383,-43383,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:45.967429+08:00,1286564.796000000,366.109000,D_sensor_zero,channel_a,0.0,4418,434397,-43384,-43384,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:46.065005+08:00,1286564.906000000,366.219000,D_sensor_zero,channel_a,0.0,4419,434495,-43400,-43400,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:46.210397+08:00,1286565.046000000,366.359000,D_sensor_zero,channel_a,0.0,4420,434628,-43414,-43414,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:46.309590+08:00,1286565.140000000,366.453000,D_sensor_zero,channel_a,0.0,4421,434726,-43401,-43401,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:46.407239+08:00,1286565.250000000,366.563000,D_sensor_zero,channel_a,0.0,4422,434825,-43396,-43396,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:46.458958+08:00,1286565.296000000,366.609000,D_sensor_zero,channel_a,0.0,4423,434887,-43368,-43368,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:46.557014+08:00,1286565.390000000,366.703000,D_sensor_zero,channel_a,0.0,4424,434986,-43370,-43370,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:46.655672+08:00,1286565.484000000,366.797000,D_sensor_zero,channel_a,0.0,4425,435084,-43393,-43393,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:46.754400+08:00,1286565.593000000,366.906000,D_sensor_zero,channel_a,0.0,4426,435182,-43380,-43380,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:46.850963+08:00,1286565.687000000,367.000000,D_sensor_zero,channel_a,0.0,4427,435280,-43354,-43354,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:46.948499+08:00,1286565.781000000,367.094000,D_sensor_zero,channel_a,0.0,4428,435378,-43360,-43360,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:47.093589+08:00,1286565.921000000,367.234000,D_sensor_zero,channel_a,0.0,4429,435512,-43397,-43397,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:47.190972+08:00,1286566.031000000,367.344000,D_sensor_zero,channel_a,0.0,4430,435609,-43405,-43405,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:47.287534+08:00,1286566.125000000,367.438000,D_sensor_zero,channel_a,0.0,4431,435706,-43400,-43400,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:47.384704+08:00,1286566.218000000,367.531000,D_sensor_zero,channel_a,0.0,4432,435803,-43399,-43399,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:47.483789+08:00,1286566.312000000,367.625000,D_sensor_zero,channel_a,0.0,4433,435900,-43383,-43383,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:47.536592+08:00,1286566.375000000,367.688000,D_sensor_zero,channel_a,0.0,4434,435967,-43374,-43374,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
