complete_ms,first_byte_ms,request
7.6918,7.5731,1
7.6374,7.5804,2
8.1505,7.9902,3
8.0544,7.9965,4
8.0675,8.0043,5
8.2192,8.1554,6
8.1617,8.0982,7
8.0415,7.9736,8
7.1964,7.1375,9
7.2298,7.1741,10
7.1882,7.1427,11
7.0728,6.9993,12
7.713,7.6485,13
7.8154,7.6109,14
7.6636,7.5748,15
7.1973,7.1415,16
7.4672,7.4035,17
7.4908,7.4169,18
7.2182,7.1567,19
7.4657,7.3982,20
8.1251,8.0061,21
7.5651,7.4959,22
7.2415,7.1634,23
7.7248,7.6012,24
7.6361,7.5728,25
7.6708,7.5846,26
7.1722,7.1065,27
7.637,7.5721,28
7.192,7.1416,29
7.6067,7.5591,30
7.646,7.5945,31
7.2057,7.1554,32
7.4781,7.41,33
8.2148,8.1519,34
8.2404,8.171,35
7.205,7.1326,36
7.6256,7.5659,37
7.6323,7.5733,38
7.5817,7.533,39
7.7536,7.6997,40
7.2029,7.1518,41
7.6431,7.5725,42
7.5134,7.4615,43
7.6377,7.5766,44
7.1632,7.101,45
7.3716,7.2964,46
8.1062,8.0432,47
7.4917,7.4329,48
8.2658,8.1868,49
8.0975,8.0028,50
8.235,8.172,51
8.2099,8.138,52
8.0669,8.0011,53
7.5397,7.4231,54
7.6376,7.5753,55
7.1804,7.1225,56
7.6496,7.5815,57
7.2067,7.1496,58
7.5804,7.512,59
7.202,7.1486,60
7.2539,7.1723,61
7.6093,7.56,62
7.6571,7.5753,63
8.6103,8.5391,64
7.6605,7.5717,65
8.0682,8.002,66
8.059,7.9944,67
8.2162,8.155,68
7.3187,7.2555,69
7.1772,7.1264,70
7.6541,7.6045,71
7.1682,7.1209,72
7.6173,7.5633,73
7.174,7.1232,74
7.5529,7.503,75
7.243,7.1474,76
7.6358,7.579,77
7.6179,7.5647,78
7.4461,7.3915,79
7.6296,7.5667,80
8.2295,8.1592,81
8.0465,7.9871,82
7.9343,7.8728,83
7.6563,7.5783,84
7.2347,7.1695,85
7.5154,7.4475,86
7.6945,7.5847,87
7.6294,7.5687,88
7.6254,7.5601,89
7.576,7.5121,90
7.7372,7.6687,91
7.2185,7.1508,92
7.4168,7.3518,93
8.0649,7.9995,94
8.0499,7.9815,95
7.6607,7.596,96
8.0709,8.0057,97
8.6359,8.5732,98
8.0239,7.9702,99
7.2049,7.1469,100
