utc,transaction_id,address,quantity,ok,recovered,latency_ms,error
2026-09-12T08:58:17Z,1,32,2,1,0,8.553,
2026-09-12T08:58:17Z,2,0,16,1,0,30.637,
2026-09-12T08:58:17Z,3,0,16,1,0,33.012,
2026-09-12T08:58:17Z,4,0,16,1,0,31.821,
2026-09-12T08:58:18Z,5,0,16,1,0,31.574,
2026-09-12T08:58:18Z,6,0,16,1,0,31.527,
2026-09-12T08:58:18Z,7,0,16,1,0,31.605,
2026-09-12T08:58:18Z,8,0,16,1,0,31.603,
2026-09-12T08:58:18Z,9,0,16,1,0,30.705,
2026-09-12T08:58:18Z,10,0,16,1,0,31.552,
2026-09-12T08:58:18Z,11,32,2,1,0,8.499,
2026-09-12T08:58:18Z,12,0,16,1,0,31.520,
2026-09-12T08:58:18Z,13,0,16,1,0,32.048,
2026-09-12T08:58:18Z,14,0,16,1,0,31.490,
2026-09-12T08:58:19Z,15,0,16,1,0,31.584,
2026-09-12T08:58:19Z,16,0,16,1,0,30.543,
2026-09-12T08:58:19Z,17,0,16,1,0,31.134,
2026-09-12T08:58:19Z,18,0,16,1,0,30.587,
2026-09-12T08:58:19Z,19,0,16,1,0,31.374,
2026-09-12T08:58:19Z,20,0,16,1,0,30.550,
2026-09-12T08:58:19Z,21,32,2,1,0,7.499,
2026-09-12T08:58:19Z,22,0,16,1,0,31.156,
2026-09-12T08:58:19Z,23,0,16,1,0,31.225,
2026-09-12T08:58:19Z,24,0,16,1,0,30.572,
2026-09-12T08:58:20Z,25,0,16,1,0,32.087,
2026-09-12T08:58:20Z,26,0,16,1,0,31.028,
2026-09-12T08:58:20Z,27,0,16,1,0,31.034,
2026-09-12T08:58:20Z,28,0,16,1,0,31.136,
2026-09-12T08:58:20Z,29,0,16,1,0,30.320,
2026-09-12T08:58:20Z,30,0,16,1,0,31.622,
2026-09-12T08:58:20Z,31,32,2,1,0,8.503,
2026-09-12T08:58:20Z,32,0,16,1,0,30.550,
2026-09-12T08:58:20Z,33,0,16,1,0,31.680,
2026-09-12T08:58:20Z,34,0,16,1,0,31.553,
2026-09-12T08:58:21Z,35,0,16,1,0,30.601,
2026-09-12T08:58:21Z,36,0,16,1,0,31.556,
2026-09-12T08:58:21Z,37,0,16,1,0,31.418,
2026-09-12T08:58:21Z,38,0,16,1,0,30.548,
2026-09-12T08:58:21Z,39,0,16,1,0,29.275,
2026-09-12T08:58:21Z,40,0,16,1,0,30.219,
2026-09-12T08:58:21Z,41,32,2,1,0,7.999,
2026-09-12T08:58:21Z,42,0,16,1,0,30.544,
2026-09-12T08:58:21Z,43,0,16,1,0,29.514,
2026-09-12T08:58:21Z,44,0,16,1,0,30.585,
2026-09-12T08:58:22Z,45,0,16,1,0,31.758,
2026-09-12T08:58:22Z,46,0,16,1,0,29.528,
2026-09-12T08:58:22Z,47,0,16,1,0,29.534,
2026-09-12T08:58:22Z,48,0,16,1,0,29.544,
2026-09-12T08:58:22Z,49,0,16,1,0,30.169,
2026-09-12T08:58:22Z,50,0,16,1,0,29.629,
2026-09-12T08:58:22Z,51,32,2,1,0,7.499,
2026-09-12T08:58:22Z,52,0,16,1,0,30.560,
2026-09-12T08:58:22Z,53,0,16,1,0,30.732,
2026-09-12T08:58:22Z,54,0,16,1,0,29.588,
2026-09-12T08:58:23Z,55,0,16,1,0,30.622,
2026-09-12T08:58:23Z,56,0,16,1,0,29.236,
2026-09-12T08:58:23Z,57,0,16,1,0,29.533,
2026-09-12T08:58:23Z,58,0,16,1,0,30.073,
2026-09-12T08:58:23Z,59,0,16,1,0,31.412,
2026-09-12T08:58:23Z,60,0,16,1,0,30.642,
2026-09-12T08:58:23Z,61,32,2,1,0,8.042,
2026-09-12T08:58:23Z,62,0,16,1,0,30.559,
2026-09-12T08:58:23Z,63,0,16,1,0,29.836,
2026-09-12T08:58:23Z,64,0,16,1,0,30.553,
2026-09-12T08:58:24Z,65,0,16,1,0,29.183,
2026-09-12T08:58:24Z,66,0,16,1,0,30.550,
2026-09-12T08:58:24Z,67,0,16,1,0,29.525,
2026-09-12T08:58:24Z,68,0,16,1,0,31.161,
2026-09-12T08:58:24Z,69,0,16,1,0,30.551,
2026-09-12T08:58:24Z,70,0,16,1,0,29.113,
2026-09-12T08:58:24Z,71,32,2,1,0,7.500,
2026-09-12T08:58:24Z,72,0,16,1,0,29.526,
2026-09-12T08:58:24Z,73,0,16,1,0,28.553,
2026-09-12T08:58:24Z,74,0,16,1,0,29.530,
2026-09-12T08:58:25Z,75,0,16,1,0,30.073,
2026-09-12T08:58:25Z,76,0,16,1,0,30.057,
2026-09-12T08:58:25Z,77,0,16,1,0,30.656,
2026-09-12T08:58:25Z,78,0,16,1,0,30.146,
2026-09-12T08:58:25Z,79,0,16,1,0,29.025,
2026-09-12T08:58:25Z,80,0,16,1,0,31.130,
2026-09-12T08:58:25Z,81,32,2,1,0,8.523,
2026-09-12T08:58:25Z,82,0,16,1,0,29.092,
2026-09-12T08:58:25Z,83,0,16,1,0,31.058,
2026-09-12T08:58:25Z,84,0,16,1,0,29.783,
2026-09-12T08:58:26Z,85,0,16,1,0,28.629,
2026-09-12T08:58:26Z,86,0,16,1,0,30.055,
2026-09-12T08:58:26Z,87,0,16,1,0,30.558,
2026-09-12T08:58:26Z,88,0,16,1,0,30.036,
2026-09-12T08:58:26Z,89,0,16,1,0,30.127,
2026-09-12T08:58:26Z,90,0,16,1,0,29.128,
2026-09-12T08:58:26Z,91,32,2,1,0,7.559,
2026-09-12T08:58:26Z,92,0,16,1,0,30.087,
2026-09-12T08:58:26Z,93,0,16,1,0,30.099,
2026-09-12T08:58:26Z,94,0,16,1,0,30.179,
2026-09-12T08:58:27Z,95,0,16,1,0,30.058,
2026-09-12T08:58:27Z,96,0,16,1,0,30.427,
2026-09-12T08:58:27Z,97,0,16,1,0,30.092,
2026-09-12T08:58:27Z,98,0,16,1,0,29.772,
2026-09-12T08:58:27Z,99,0,16,1,0,30.055,
2026-09-12T08:58:27Z,100,0,16,1,0,29.618,
2026-09-12T08:58:27Z,101,32,2,1,0,7.066,
2026-09-12T08:58:27Z,102,0,16,1,0,30.028,
2026-09-12T08:58:27Z,103,0,16,1,0,29.199,
