complete_ms,first_byte_ms,request
8.1118,7.9979,1
8.272,8.1672,2
8.0357,7.9769,3
7.6361,7.5748,4
7.2069,7.1423,5
7.5187,7.4204,6
7.2147,7.1544,7
7.6233,7.5659,8
7.6192,7.5588,9
7.6907,7.6141,10
7.2185,7.1594,11
7.6578,7.5885,12
7.1901,7.1318,13
7.6376,7.5744,14
7.2082,7.1486,15
8.0675,8.004,16
7.7465,7.6342,17
7.2145,7.1564,18
7.5557,7.4882,19
7.6271,7.5663,20
7.6935,7.6273,21
7.5956,7.5463,22
7.6082,7.5612,23
7.5937,7.5442,24
7.4947,7.4298,25
7.2221,7.1584,26
7.725,7.6584,27
7.7167,7.5967,28
7.6279,7.5675,29
7.6206,7.5565,30
8.2071,8.1544,31
8.2015,8.146,32
8.2667,8.1886,33
7.1874,7.1373,34
7.3161,7.1507,35
7.2195,7.1471,36
7.6456,7.5777,37
7.6841,7.597,38
7.652,7.5804,39
7.641,7.5729,40
7.4983,7.4244,41
7.7942,7.4152,42
7.6662,7.575,43
7.6187,7.5643,44
7.9909,7.9337,45
8.0488,7.9844,46
8.3512,8.2859,47
7.5131,7.4554,48
7.6592,7.5887,49
7.4381,7.3856,50
7.2065,7.1465,51
7.6155,7.5654,52
7.5174,7.4625,53
7.6281,7.5684,54
7.2013,7.1427,55
7.4624,7.4026,56
7.1961,7.1339,57
7.6328,7.5692,58
8.1012,7.9778,59
8.2314,8.1586,60
8.0657,8.0035,61
8.0352,7.9834,62
7.6677,7.6,63
7.1468,7.0946,64
7.2554,7.1707,65
7.1974,7.1438,66
7.6731,7.6066,67
7.6185,7.5638,68
7.6324,7.571,69
7.1852,7.1241,70
7.6352,7.4444,71
7.6205,7.5629,72
7.2263,7.1591,73
8.064,7.9966,74
8.2062,8.1457,75
8.2841,8.2272,76
7.5232,7.461,77
7.2439,7.1518,78
7.6072,7.5596,79
7.1282,7.0777,80
7.6289,7.5723,81
7.6206,7.5697,82
7.6172,7.5657,83
7.1742,7.1192,84
7.677,7.5864,85
7.2141,7.1541,86
7.2316,7.1699,87
7.6338,7.5657,88
8.2003,8.1463,89
8.0818,8.0086,90
8.2959,8.2021,91
8.0354,7.9849,92
7.6242,7.5735,93
7.4595,7.3987,94
7.0648,7.0173,95
7.6349,7.574,96
7.6094,7.559,97
7.6049,7.5586,98
7.6246,7.5718,99
7.605,7.5559,100
