utc,transaction_id,address,quantity,ok,latency_ms,error
2026-09-12T08:18:58Z,1,32,2,1,9.005,
2026-09-12T08:18:58Z,2,0,32,1,54.577,
2026-09-12T08:18:59Z,3,0,32,0,975.322,[WinError 10054] 远程主机强迫关闭了一个现有的连接。
