complete_ms,first_byte_ms,request
7.296,7.1473,1
7.5956,7.5252,2
7.6451,7.5752,3
8.2396,8.1576,4
7.2288,7.1557,5
7.2178,7.1494,6
7.6919,7.6256,7
7.2069,7.1481,8
7.5557,7.4677,9
7.5434,7.4874,10
7.4802,7.4151,11
7.1997,7.1484,12
7.1894,7.1417,13
7.2001,7.1456,14
7.2796,7.17,15
8.0895,8.0215,16
7.6166,7.5655,17
8.0455,7.9833,18
7.1199,7.0524,19
7.5283,7.4684,20
7.46,7.3992,21
7.2149,7.1497,22
7.2188,7.1505,23
7.6077,7.5599,24
7.6969,7.6105,25
7.459,7.4097,26
7.6288,7.5742,27
7.6236,7.5707,28
7.6095,7.5604,29
7.1595,7.1014,30
8.2376,8.172,31
8.2565,8.1882,32
8.0596,8.0002,33
8.2513,8.1756,34
7.562,7.4717,35
7.5542,7.4957,36
7.2461,7.1817,37
7.5551,7.4397,38
7.6613,7.5854,39
7.2071,7.1463,40
7.6022,7.5514,41
7.6178,7.5611,42
7.6024,7.546,43
7.6432,7.5772,44
7.5201,7.4619,45
7.6299,7.5679,46
7.1949,7.13,47
8.0669,8.0,48
8.0753,8.0089,49
8.0861,8.0001,50
7.6453,7.5835,51
7.491,7.4281,52
7.1971,7.144,53
7.3033,7.1968,54
7.5581,7.4793,55
7.474,7.4071,56
7.6273,7.5636,57
7.5046,7.4393,58
7.6242,7.566,59
7.6358,7.5799,60
7.184,7.1247,61
7.2045,7.1475,62
8.155,8.1004,63
8.1952,8.1384,64
8.1493,8.0872,65
7.2296,7.1031,66
7.6959,7.5841,67
7.1907,7.1441,68
7.4372,7.3872,69
7.443,7.3916,70
7.4476,7.3963,71
7.2074,7.1501,72
7.2303,7.1648,73
7.175,7.111,74
7.4675,7.4155,75
8.2008,8.1375,76
8.1987,8.1256,77
8.1903,8.1254,78
7.6405,7.5775,79
7.5921,7.5281,80
7.2021,7.1482,81
7.6291,7.5672,82
7.2224,7.1576,83
7.4603,7.3966,84
7.6022,7.5485,85
7.5331,7.4277,86
7.2082,7.1421,87
7.1906,7.1332,88
7.6337,7.5752,89
8.2243,8.1568,90
8.2413,8.167,91
7.6408,7.5769,92
7.2043,7.154,93
7.1804,7.131,94
7.2122,7.1572,95
7.4446,7.3928,96
7.6666,7.6069,97
7.6089,7.5586,98
7.6287,7.5693,99
7.2107,7.1514,100
