complete_ms,first_byte_ms,request
7.2107,7.1361,1
7.394,7.3463,2
7.4349,7.3908,3
7.202,7.1481,4
7.6353,7.5792,5
7.6469,7.5791,6
7.1091,7.0536,7
7.2363,7.1491,8
7.5258,7.4687,9
7.627,7.5619,10
7.9232,7.8658,11
8.2277,8.172,12
8.0551,7.9923,13
7.5605,7.502,14
7.6451,7.5784,15
7.4391,7.3907,16
7.2172,7.1358,17
7.6736,7.5971,18
7.6264,7.5705,19
7.6337,7.5712,20
7.1758,7.1157,21
7.2097,7.1518,22
7.6757,7.5886,23
7.5051,7.4269,24
8.2082,8.1501,25
8.1662,8.0833,26
8.2556,8.1729,27
7.1828,7.1196,28
7.6239,7.5742,29
7.4539,7.4089,30
7.187,7.1394,31
7.6411,7.563,32
7.5822,7.4475,33
7.5829,7.5358,34
7.5953,7.5466,35
7.6379,7.5791,36
7.1886,7.1412,37
7.5617,7.5146,38
8.0476,7.9959,39
8.0575,8.0013,40
7.6322,7.5722,41
6.9979,6.9417,42
7.241,7.1738,43
7.0003,6.942,44
7.2042,7.1462,45
7.624,7.568,46
7.4335,7.3868,47
7.0309,6.9838,48
7.6229,7.5723,49
7.1794,7.1338,50
7.6094,7.562,51
8.024,7.9789,52
8.1842,8.1371,53
8.0296,7.9797,54
8.0341,7.9831,55
7.6454,7.5767,56
7.2013,7.1459,57
7.1947,7.1402,58
7.2156,7.1413,59
7.6215,7.5714,60
7.6119,7.5618,61
7.4326,7.3862,62
7.1786,7.1272,63
7.609,7.5581,64
7.6081,7.5626,65
8.0215,7.9763,66
8.194,8.1435,67
8.017,7.9674,68
7.6196,7.5689,69
7.1828,7.1352,70
7.549,7.4984,71
7.8949,7.6965,72
7.6208,7.5709,73
7.5322,7.4766,74
7.6132,7.5616,75
7.5987,7.5518,76
7.2057,7.1452,77
7.197,7.1463,78
7.2031,7.1501,79
8.0227,7.978,80
8.1785,8.1322,81
7.1832,7.1344,82
7.0286,6.982,83
7.4661,7.4197,84
7.1898,7.1419,85
7.6016,7.5562,86
7.6161,7.566,87
7.5047,7.456,88
6.995,6.9216,89
7.1288,7.031,90
7.2095,7.1559,91
8.2219,8.139,92
8.1738,8.1254,93
8.187,8.141,94
8.2057,8.1536,95
7.611,7.5626,96
7.5687,7.5212,97
7.6443,7.5811,98
7.6366,7.5776,99
7.6235,7.5736,100
