frame_sequence,device_timestamp_ms,message_type,measurement_sequence,display_mass_ug,net_mass_ug,gross_mass_ug,tare_mass_ug,stable,display_locked,overload,unit,dp,division,display_mass_g,host_timestamp
25273,3610809,1,36044,500076601,500065336,500065336,0,1,1,0,1,2,1,500.076601,1789155884.348399
25274,3611009,1,36046,500076601,500060830,500060830,0,1,1,0,1,2,1,500.076601,1789155884.7693484
25277,3611209,1,36048,500076601,500058577,500058577,0,1,1,0,1,2,1,500.076601,1789155884.7693484
25278,3611409,1,36050,500076601,500061956,500061956,0,1,1,0,1,2,1,500.076601,1789155884.948871
25279,3611609,1,36052,500076601,500067589,500067589,0,1,1,0,1,2,1,500.076601,1789155885.1586678
25280,3611809,1,36054,500076601,500065336,500065336,0,1,1,0,1,2,1,500.076601,1789155885.3534586
25281,3612009,1,36056,500076601,500066462,500066462,0,1,1,0,1,2,1,500.076601,1789155885.7898805
25284,3612209,1,36058,500076601,500065336,500065336,0,1,1,0,1,2,1,500.076601,1789155885.7898805
25285,3612409,1,36060,500076601,500060830,500060830,0,1,1,0,1,2,1,500.076601,1789155885.9540246
25286,3612609,1,36062,500076601,500058577,500058577,0,1,1,0,1,2,1,500.076601,1789155886.1490874
25287,3612809,1,36064,500076601,500058577,500058577,0,1,1,0,1,2,1,500.076601,1789155886.3583667
25288,3613009,1,36066,500076601,500058577,500058577,0,1,1,0,1,2,1,500.076601,1789155886.7648056
25291,3613209,1,36068,500076601,500059703,500059703,0,1,1,0,1,2,1,500.076601,1789155886.7653103
25292,3613409,1,36070,500076601,500061956,500061956,0,1,1,0,1,2,1,500.076601,1789155886.9575813
25293,3613609,1,36072,500076601,500064209,500064209,0,1,1,0,1,2,1,500.076601,1789155887.1528816
25294,3613809,1,36074,500076601,500066462,500066462,0,1,1,0,1,2,1,500.076601,1789155887.3631265
25295,3614009,1,36076,500076601,500065336,500065336,0,1,1,0,1,2,1,500.076601,1789155887.7549627
25298,3614209,1,36078,500076601,500068715,500068715,0,1,1,0,1,2,1,500.076601,1789155887.7549627
25299,3614409,1,36080,500076601,500070968,500070968,0,1,1,0,1,2,1,500.076601,1789155887.948221
25300,3614609,1,36082,500076601,500067589,500067589,0,1,1,0,1,2,1,500.076601,1789155888.1577897
25301,3614809,1,36084,500076601,500068715,500068715,0,1,1,0,1,2,1,500.076601,1789155888.3531806
25302,3615009,1,36086,500076601,500067589,500067589,0,1,1,0,1,2,1,500.076601,1789155888.7592123
25305,3615209,1,36088,500076601,500066462,500066462,0,1,1,0,1,2,1,500.076601,1789155888.7602122
25306,3615409,1,36090,500076601,500070968,500070968,0,1,1,0,1,2,1,500.076601,1789155888.9528854
