complete_ms,first_byte_ms,request
7.6872,7.5706,1
7.6301,7.5708,2
7.2083,7.1559,3
8.1774,8.1126,4
7.6198,7.5641,5
8.0605,8.0015,6
8.0299,7.9809,7
8.185,8.1385,8
7.5955,7.5581,9
7.1792,7.1375,10
7.2248,7.1559,11
7.6331,7.5635,12
7.6096,7.5574,13
7.609,7.5569,14
7.2495,7.1738,15
7.1323,7.061,16
7.1986,7.1439,17
8.0078,7.9623,18
8.0351,7.981,19
8.0655,8.0041,20
8.0567,7.9971,21
8.1982,8.1466,22
7.1914,7.1277,23
7.2322,7.1567,24
7.2136,7.1612,25
7.4612,7.4036,26
7.5065,7.4557,27
7.6107,7.5616,28
7.1863,7.1366,29
7.4408,7.3784,30
7.1745,7.1341,31
7.1764,7.1298,32
7.1858,7.1418,33
8.0275,7.9776,34
8.0681,8.0144,35
8.6145,8.5558,36
7.631,7.5679,37
7.6197,7.5713,38
7.6154,7.5697,39
7.1913,7.1432,40
7.2396,7.1556,41
7.6479,7.5697,42
7.631,7.5732,43
7.1934,7.1431,44
7.2169,7.1572,45
8.2222,8.1571,46
7.2239,7.1775,47
8.0417,7.9791,48
8.0838,8.0,49
7.6174,7.5614,50
7.1842,7.1342,51
7.1808,7.133,52
7.6193,7.563,53
7.1647,7.118,54
7.4724,7.4152,55
7.1836,7.1452,56
7.4216,7.3844,57
8.2086,8.162,58
7.7289,7.5641,59
8.2091,8.1536,60
8.038,7.9861,61
8.0143,7.9715,62
8.1795,8.1374,63
7.6124,7.5634,64
7.4311,7.3899,65
7.1746,7.1344,66
7.6034,7.5631,67
7.2271,7.1714,68
7.612,7.5598,69
7.2079,7.1599,70
7.4953,7.4502,71
7.1975,7.1443,72
7.6303,7.5772,73
7.6085,7.559,74
8.0858,8.0168,75
8.0589,7.9956,76
8.227,8.163,77
7.2057,7.1519,78
7.1855,7.1376,79
7.1822,7.1389,80
7.5903,7.5523,81
7.416,7.3782,82
7.6009,7.5612,83
7.5963,7.5575,84
7.5957,7.5506,85
7.1939,7.1412,86
7.2066,7.152,87
8.1775,8.1326,88
7.1963,7.1536,89
8.0174,7.979,90
8.1751,8.1361,91
7.1839,7.1423,92
7.1893,7.1505,93
7.5938,7.5538,94
7.5989,7.5612,95
7.6149,7.5705,96
7.1791,7.1393,97
7.1882,7.1396,98
7.489,7.4491,99
8.0587,7.9995,100
